,0
0,"[0.18243372802157765, 0.018896528679374525, 0.8960905257877619, 5, 11, 0.9502573366218408, 0.608636223992721, 0.3560660179061693, 0.3398173646106416, 0.2635904919086409] : (106.0, 1647.1448621553884, 1742.5833333333335)"
1,"[0.32175343585960814, 0.7729864936339436, 0.8960905257877619, 5, 11, 0.8597484995474267, 0.4867920135902595, 0.5912585755922606, 0.9896338790058816, 0.2635904919086409] : (103.0, 1634.0855889724314, 1762.8280701754384)"
2,"[0.7252885215910867, 0.7729864936339436, 0.8960905257877619, 5, 11, 0.8726558157765248, 0.4867920135902595, 0.5912585755922606, 0.9896338790058816, 0.7753818471814417] : (103.0, 1706.491979949875, 1883.273148148148)"
3,"[0.32175343585960814, 0.7729864936339436, 0.8960905257877619, 5, 11, 0.8597484995474267, 0.4867920135902595, 0.5912585755922606, 0.9896338790058816, 0.7753818471814417] : (100.0, 1659.6307017543859, 1782.6096491228068)"
4,"[0.8979174041536819, 0.16786917490169784, 0.6718457233465223, 5, 10, 0.8597484995474267, 0.916167254222624, 0.5912585755922606, 0.9896338790058816, 0.7753818471814417] : (100.0, 1699.54649122807, 1668.9719298245616)"
5,"[0.32175343585960814, 0.018896528679374525, 0.8960905257877619, 5, 11, 0.4038241493881558, 0.608636223992721, 0.5912585755922606, 0.3398173646106416, 0.2635904919086409] : (96.5, 1641.0517543859648, 1786.9359649122807)"
6,"[0.7252885215910867, 0.018896528679374525, 0.13424969659652697, 1, 11, 0.8726558157765248, 0.6262504058803731, 0.4846118356954132, 0.3398173646106416, 0.2635904919086409] : (96.5, 1726.3052631578948, 1562.759649122807)"
7,"[0.4546271219877075, 0.018896528679374525, 0.6952796734775666, 5, 18, 0.9502573366218408, 0.916167254222624, 0.4846118356954132, 0.3398173646106416, 0.2465943610292587] : (96.0, 1639.9194235588973, 1663.764411027569)"
8,"[0.32175343585960814, 0.018896528679374525, 0.8960905257877619, 5, 11, 0.9502573366218408, 0.11356407878932018, 0.05370807505550912, 0.3398173646106416, 0.7753818471814417] : (96.0, 1696.601754385965, 1724.2)"
9,"[0.32175343585960814, 0.018896528679374525, 0.8960905257877619, 5, 20, 0.9502573366218408, 0.3324964674658194, 0.4846118356954132, 0.19849978658644452, 0.8143441392027428] : (93.5, 1735.129448621554, 1634.8131578947368)"
