0, 10, (38.0, 1573.2407407407406, 1751.9333333333334), (50.5, 1716.3425925925924, 1519.737037037037), 45.25, 45.0, 3.646916505762094
1, 10, (94.5, 1753.9994987468672, 1710.719298245614), (104.5, 1728.856140350877, 1598.084259259259), 100.75, 99.7, 2.85657137141714
2, 10, (95.0, 1744.6956140350874, 1737.0710526315786), (110.0, 1700.543483709273, 1684.4096491228072), 101.0, 101.05, 5.042072986381693
3, 10, (95.0, 1556.6962962962964, 1808.377192982456), (110.0, 1651.5464912280702, 1678.81568627451), 100.25, 100.9, 4.1521078984053394
4, 10, (95.0, 1618.1115288220553, 1765.8271929824562), (103.5, 1626.2343358395988, 1697.2140350877194), 98.25, 99.0, 2.4083189157584592
5, 10, (97.0, 1665.6907268170428, 1583.6844611528822), (105.5, 1672.8482456140355, 1795.7008771929825), 98.5, 99.4, 2.6248809496813372
6, 10, (95.0, 1519.3956140350874, 1658.834210526316), (105.5, 1741.986967418546, 1618.0194444444444), 96.5, 98.2, 3.4583232931581165
7, 10, (96.0, 1900.015789473684, 1499.187343358396), (103.5, 1915.4017543859652, 1563.9622807017543), 98.0, 98.7, 2.5019992006393608
8, 10, (95.5, 1886.9645363408517, 1664.9692982456138), (111.0, 1776.8938596491225, 1573.741228070175), 98.5, 99.95, 4.8602983447521
9, 10, (96.0, 1719.556140350877, 1695.30350877193), (105.0, 1849.571929824561, 1713.3447368421052), 98.75, 99.55, 3.1894356867634124
10, 10, (94.5, 1796.425438596491, 1754.64686716792), (106.5, 1676.144736842105, 1697.913888888889), 100.25, 99.5, 3.8144462245521304
11, 10, (97.0, 1706.5938596491228, 1813.337719298246), (106.5, 1692.471052631579, 1685.5412280701755), 99.5, 99.7, 2.6664583251946765
12, 10, (96.5, 1654.6780701754385, 1825.0026315789476), (107.0, 1647.511403508772, 1755.4768518518517), 98.0, 99.8, 3.4365680554879168
13, 10, (94.5, 1724.792105263158, 1566.0008771929824), (106.5, 1696.6700501253135, 1655.9894736842105), 99.0, 99.6, 4.029888335921977
14, 10, (94.5, 1848.0105263157898, 1597.1263157894737), (107.5, 1706.7153508771928, 1667.302777777778), 99.5, 99.8, 3.6345563690772495
15, 10, (93.0, 1734.628947368421, 1672.184962406015), (107.0, 1759.2052631578945, 1790.736111111111), 101.0, 100.65, 4.533486517019766
16, 10, (95.0, 1751.9546296296298, 1855.972807017544), (105.5, 1729.6931077694237, 1549.5972222222222), 97.25, 98.5, 3.3466401061363023
17, 10, (94.5, 1637.5166666666667, 1730.056140350877), (106.5, 1717.5649122807015, 1720.2736842105262), 101.25, 100.65, 3.3693471177662895
18, 10, (94.0, 1506.564912280702, 1878.8684210526317), (106.0, 1670.8834586466164, 1865.2074074074071), 101.25, 100.1, 4.029888335921977
19, 10, (94.5, 1785.6543859649123, 1833.5596491228073), (107.0, 1657.1175438596492, 1771.15350877193), 98.0, 98.5, 3.4713109915419564
20, 10, (95.5, 1678.0026315789476, 1767.8947368421052), (107.5, 1626.301253132832, 1830.669791666667), 97.75, 99.25, 3.816084380618437
21, 10, (95.5, 1629.9600250626565, 1753.1944444444443), (108.0, 1709.2568922305763, 1726.901851851852), 99.75, 100.15, 4.159627387158615
22, 10, (94.0, 1720.6551820728291, 1772.7035087719296), (105.5, 1655.6839598997494, 1892.6052631578948), 98.25, 99.05, 3.965160778581368
23, 10, (95.0, 1637.3944444444446, 1843.819298245614), (103.5, 1765.4043859649123, 1666.5614035087717), 97.75, 98.95, 2.8935272592460572
24, 10, (95.0, 1615.5912280701752, 1836.0583333333327), (105.0, 1775.682456140351, 1713.5552631578946), 99.75, 99.85, 3.05
25, 10, (94.5, 1787.508521303258, 1769.9350877192985), (108.0, 1660.7052631578947, 1698.3194444444443), 100.75, 100.95, 3.8758869952566983
26, 10, (94.5, 1739.951754385965, 1645.2342105263156), (103.0, 1654.203634085213, 1750.573148148148), 100.5, 99.9, 2.634387974463898
27, 10, (95.5, 1817.7912280701755, 1602.111403508772), (103.5, 1817.6552631578945, 1749.5), 99.5, 99.35, 2.775337817275583
