,0
0,"[0.9291443488886724, 0.7502030751695131, 0.7437527057678102, 2, 2, 0.511100935792232, 0.7213028361032197, 0.5590256083711386, 0.2615184431104183, 0.7774327843360552] : 1239.6531696170712"
1,"[0.697300410623556, 0.7502030751695131, 0.9525962540780832, 2, 2, 0.45538841484131976, 0.856325598191261, 0.5638305823556123, 0.1981543344851192, 0.27385407535554984] : 1236.0238176165396"
2,"[0.8154378975056786, 0.8155168389321475, 0.4841959502475601, 2, 2, 0.4413632848072744, 0.7213028361032197, 0.180699416032008, 0.1981543344851192, 0.27385407535554984] : 1231.930622798628"
3,"[0.9291443488886724, 0.8155168389321475, 0.4111728869892334, 2, 2, 0.511100935792232, 0.32213646592598766, 0.5590256083711386, 0.1981543344851192, 0.7774327843360552] : 1225.1963363987586"
4,"[0.8154378975056786, 0.7502030751695131, 0.7437527057678102, 2, 2, 0.6423358923442761, 0.9449531429933378, 0.24083687746171645, 0.2615184431104183, 0.7774327843360552] : 1221.158149293977"
5,"[0.8154378975056786, 0.8155168389321475, 0.2289624153300388, 2, 2, 0.4413632848072744, 0.18394282674491147, 0.5590256083711386, 0.1981543344851192, 0.27385407535554984] : 1220.812959764042"
6,"[0.697300410623556, 0.7502030751695131, 0.9525962540780832, 4, 2, 0.45538841484131976, 0.856325598191261, 0.5590256083711386, 0.2615184431104183, 0.7774327843360552] : 1217.0425028568413"
7,"[0.9291443488886724, 0.4552363087290918, 0.4111728869892334, 2, 2, 0.4413632848072744, 0.18394282674491147, 0.5590256083711386, 0.1981543344851192, 0.27385407535554984] : 1215.5478819660007"
8,"[0.18346722580624752, 0.8155168389321475, 0.2126276873906534, 2, 14, 0.9666295623641886, 0.18394282674491147, 0.5590256083711386, 0.01110052146220819, 0.07814711690280918] : 1214.980566496895"
9,"[0.8154378975056786, 0.8155168389321475, 0.7437527057678102, 5, 2, 0.4413632848072744, 0.18394282674491147, 0.5590256083711386, 0.2615184431104183, 0.7774327843360552] : 1214.803756937282"
