,0
0,"[0.6050083140677014, 0.7616562934367219, 0.5634708391451839, 2, 11, 0.11615758890645955, 0.6985842979559154, 0.8027132203902585, 0.0505265719772382, 0.37510963988841717] : (10.5, 1697.0, 1764.3333333333333)"
1,"[0.350569106761908, 0.6645911949469294, 0.282621268667993, 8, 7, 0.8977870648673308, 0.8082740833822517, 0.26933195570724355, 0.14024256547909864, 0.3938609827065388] : (10.5, 1787.2222222222222, 1723.0)"
2,"[0.04278589795445753, 0.610731536452991, 0.4491236874128123, 3, 12, 0.20636735649693083, 0.7779085550358517, 0.26933195570724355, 0.7243059290781644, 0.20399213221347767] : (10.5, 1798.111111111111, 1635.3333333333333)"
3,"[0.6050083140677014, 0.017683085718856795, 0.5634708391451839, 2, 16, 0.11615758890645955, 0.04287570997584489, 0.00929138527198925, 0.8938790276923243, 0.5247882690144251] : (10.5, 2177.5555555555557, 2081.0)"
4,"[0.6050083140677014, 0.7616562934367219, 0.5634708391451839, 2, 16, 0.11615758890645955, 0.6985842979559154, 0.8027132203902585, 0.0505265719772382, 0.37510963988841717] : (9.5, 1455.75, 1754.5)"
5,"[0.6050083140677014, 0.017683085718856795, 0.21825694701096254, 6, 7, 0.11615758890645955, 0.30201265109262576, 0.8027132203902585, 0.036903642018860094, 0.3938609827065388] : (9.5, 1580.75, 1523.0)"
6,"[0.350569106761908, 0.5473632727141733, 0.43936924014032963, 2, 6, 0.20636735649693083, 0.7779085550358517, 0.26933195570724355, 0.772036212338298, 0.3178939622908791] : (9.5, 1585.0, 1656.25)"
7,"[0.14812603557352477, 0.017683085718856795, 0.282621268667993, 2, 7, 0.11615758890645955, 0.30201265109262576, 0.00929138527198925, 0.9043579682408219, 0.3938609827065388] : (9.5, 1601.625, 1878.25)"
8,"[0.9547112787118331, 0.18842484313799568, 0.4491236874128123, 3, 15, 0.4278679680381321, 0.7779085550358517, 0.8361169160193253, 0.7243059290781644, 0.37510963988841717] : (9.5, 1651.75, 1414.5)"
9,"[0.350569106761908, 0.5473632727141733, 0.4491236874128123, 2, 6, 0.20636735649693083, 0.8461744719879711, 0.6459982809075245, 0.7243059290781644, 0.20399213221347767] : (9.5, 1671.375, 2128.5)"
10,"[0.6050083140677014, 0.12594730116024488, 0.4491236874128123, 1, 6, 0.20636735649693083, 0.04287570997584489, 0.00929138527198925, 0.7243059290781644, 0.20399213221347767] : (9.5, 1684.5, 2039.0)"
11,"[0.1026817186970227, 0.622542854491974, 0.5634708391451839, 7, 10, 0.11615758890645955, 0.5687993502084779, 0.8278630937161783, 0.12517018781322709, 0.5247882690144251] : (9.5, 1708.125, 1704.75)"
12,"[0.9547112787118331, 0.18842484313799568, 0.4491236874128123, 3, 15, 0.4278679680381321, 0.6074713346327049, 0.8361169160193253, 0.6792814292551314, 0.37510963988841717] : (9.5, 1720.0, 1727.25)"
13,"[0.1026817186970227, 0.6645911949469294, 0.5634708391451839, 1, 11, 0.11615758890645955, 0.0930752869898146, 0.00929138527198925, 0.045356652552017596, 0.7648510288397353] : (9.5, 1744.25, 2120.0)"
14,"[0.350569106761908, 0.6645911949469294, 0.5634708391451839, 2, 17, 0.11615758890645955, 0.8620135096908735, 0.26933195570724355, 0.8938790276923243, 0.5247882690144251] : (9.5, 1750.875, 1287.75)"
15,"[0.7336646142831389, 0.6645911949469294, 0.43936924014032963, 8, 6, 0.8977870648673308, 0.8082740833822517, 0.26933195570724355, 0.772036212338298, 0.3938609827065388] : (9.5, 1772.875, 2002.5)"
16,"[0.6050083140677014, 0.017683085718856795, 0.5634708391451839, 3, 16, 0.11615758890645955, 0.6599752116681966, 0.00929138527198925, 0.8938790276923243, 0.5247882690144251] : (9.5, 1784.0, 1558.25)"
17,"[0.9547112787118331, 0.4631288103447029, 0.282621268667993, 2, 12, 0.4278679680381321, 0.8082740833822517, 0.46252547282284007, 0.14024256547909864, 0.4745510703215873] : (9.5, 1805.125, 1296.0)"
18,"[0.6050083140677014, 0.5058702045045317, 0.4325732315732108, 10, 12, 0.7850989583942164, 0.8082740833822517, 0.46252547282284007, 0.7883111123272489, 0.7648510288397353] : (9.5, 1807.875, 1547.75)"
19,"[0.9547112787118331, 0.18842484313799568, 0.4491236874128123, 3, 12, 0.20636735649693083, 0.8348912217037766, 0.8361169160193253, 0.7243059290781644, 0.20399213221347767] : (9.5, 1831.375, 1632.5)"
20,"[0.6050083140677014, 0.5058702045045317, 0.4325732315732108, 2, 8, 0.7850989583942164, 0.8292137261622019, 0.00929138527198925, 0.5476385214255617, 0.7648510288397353] : (9.5, 1871.125, 1445.5)"
21,"[0.9547112787118331, 0.12594730116024488, 0.4491236874128123, 5, 12, 0.20636735649693083, 0.8082740833822517, 0.46252547282284007, 0.7883111123272489, 0.5104249374594241] : (9.5, 1914.75, 1573.0)"
22,"[0.6050083140677014, 0.6645911949469294, 0.5634708391451839, 2, 8, 0.11615758890645955, 0.0930752869898146, 0.00929138527198925, 0.5476385214255617, 0.7648510288397353] : (9.5, 1923.875, 1452.0)"
23,"[0.9547112787118331, 0.18842484313799568, 0.5634708391451839, 3, 10, 0.4278679680381321, 0.5687993502084779, 0.8361169160193253, 0.6792814292551314, 0.37510963988841717] : (9.5, 1936.125, 1096.5)"
24,"[0.9547112787118331, 0.5473632727141733, 0.4491236874128123, 3, 12, 0.20636735649693083, 0.7779085550358517, 0.8361169160193253, 0.7243059290781644, 0.20399213221347767] : (9.5, 1941.75, 1530.25)"
25,"[0.1026817186970227, 0.622542854491974, 0.5634708391451839, 2, 10, 0.4181123729511035, 0.0930752869898146, 0.00929138527198925, 0.12517018781322709, 0.7648510288397353] : (9.5, 1966.0, 1106.0)"
26,"[0.350569106761908, 0.3837673154675729, 0.43936924014032963, 2, 12, 0.20636735649693083, 0.5542643861992591, 0.8361169160193253, 0.7243059290781644, 0.3178939622908791] : (9.5, 1977.625, 1021.0)"
27,"[0.350569106761908, 0.5473632727141733, 0.5634708391451839, 8, 16, 0.11615758890645955, 0.7779085550358517, 0.26933195570724355, 0.772036212338298, 0.3938609827065388] : (9.5, 1996.625, 1343.0)"
28,"[0.350569106761908, 0.9835754332176868, 0.282621268667993, 8, 15, 0.4278679680381321, 0.6074713346327049, 0.8361169160193253, 0.6792814292551314, 0.37510963988841717] : (9.5, 2008.375, 1284.0)"
29,"[0.6050083140677014, 0.017683085718856795, 0.5634708391451839, 2, 6, 0.05493466748097264, 0.9307430637813445, 0.00929138527198925, 0.7243059290781644, 0.3178939622908791] : (9.5, 2051.875, 1389.75)"
