,0
0,"[0.12297458178514886, 0.6892306869658429, 0.7148493268065897, 6, 14, 0.8592884890421564, 0.5742506862351809, 0.5004585268846088, 0.4516465027404083, 0.016439674148995054] : (10.5, 1960.6666666666667, 2187.3333333333335)"
1,"[0.12297458178514886, 0.6892306869658429, 0.41064444726792937, 6, 5, 0.26102266903078286, 0.6044721622170547, 0.5004585268846088, 0.10697597413047988, 0.3111363057105869] : (10.5, 2006.7777777777778, 1078.6666666666667)"
2,"[0.7132326631910321, 0.18415436260973572, 0.9282312517318159, 5, 7, 0.5596770541532551, 0.9353012554261307, 0.2120793513202579, 0.10697597413047988, 0.6211069544190239] : (10.5, 2010.7777777777778, 871.6666666666666)"
3,"[0.7084100025387775, 0.3739702329926411, 0.9374743425303085, 7, 1, 0.8353753495440162, 0.030258068335302313, 0.5004585268846088, 0.7016558944545145, 0.4058218517535608] : (10.5, 2088.3333333333335, 1503.6666666666667)"
4,"[0.26130416864716943, 0.3739702329926411, 0.19087352081775188, 6, 7, 0.37184626104900853, 0.4988448478081354, 0.5004585268846088, 0.10697597413047988, 0.4058218517535608] : (10.0, 1703.111111111111, 1949.75)"
5,"[0.706491541594108, 0.5746484694013645, 0.9031096892607785, 5, 7, 0.888984487155714, 0.9353012554261307, 0.2120793513202579, 0.4516465027404083, 0.6211069544190239] : (10.0, 1934.111111111111, 1402.75)"
6,"[0.8291030266456836, 0.3739702329926411, 0.9374743425303085, 7, 7, 0.8353753495440162, 0.6044721622170547, 0.2716850495281453, 0.10697597413047988, 0.3111363057105869] : (10.0, 1996.0, 937.75)"
7,"[0.7132326631910321, 0.18415436260973572, 0.8617244286158295, 5, 7, 0.5596770541532551, 0.3619469333548275, 0.2120793513202579, 0.10697597413047988, 0.6211069544190239] : (10.0, 2075.6666666666665, 1902.25)"
8,"[0.12297458178514886, 0.5746484694013645, 0.7148493268065897, 7, 14, 0.37184626104900853, 0.004205114526805054, 0.5004585268846088, 0.4516465027404083, 0.4058218517535608] : (9.5, 1363.625, 2230.25)"
9,"[0.8291030266456836, 0.3739702329926411, 0.19087352081775188, 7, 7, 0.37184626104900853, 0.4988448478081354, 0.5004585268846088, 0.10697597413047988, 0.3111363057105869] : (9.5, 1373.125, 2416.25)"
10,"[0.12297458178514886, 0.3739702329926411, 0.9374743425303085, 7, 7, 0.8353753495440162, 0.5868133054976081, 0.15220208634851362, 0.7016558944545145, 0.3111363057105869] : (9.5, 1473.125, 1810.5)"
11,"[0.041367031848375646, 0.18415436260973572, 0.9282312517318159, 5, 7, 0.5596770541532551, 0.9353012554261307, 0.2120793513202579, 0.10697597413047988, 0.4115114747807981] : (9.5, 1529.25, 1819.25)"
12,"[0.7084100025387775, 0.5746484694013645, 0.47529319990076835, 6, 19, 0.37184626104900853, 0.004205114526805054, 0.5004585268846088, 0.4516465027404083, 0.4058218517535608] : (9.5, 1533.0, 2110.25)"
13,"[0.12297458178514886, 0.3739702329926411, 0.8162776972743092, 1, 3, 0.37184626104900853, 0.5868133054976081, 0.2120793513202579, 0.7016558944545145, 0.6219564350765185] : (9.5, 1535.25, 1583.5)"
14,"[0.12297458178514886, 0.6892306869658429, 0.41064444726792937, 6, 14, 0.8592884890421564, 0.5742506862351809, 0.5004585268846088, 0.38382986779147954, 0.016439674148995054] : (9.5, 1551.875, 1859.75)"
15,"[0.12297458178514886, 0.3739702329926411, 0.23387001708205835, 7, 7, 0.37184626104900853, 0.5868133054976081, 0.5004585268846088, 0.7016558944545145, 0.6219564350765185] : (9.5, 1561.75, 2030.75)"
16,"[0.7084100025387775, 0.5746484694013645, 0.9374743425303085, 5, 1, 0.16798171863478006, 0.030258068335302313, 0.5004585268846088, 0.6358606234212353, 0.4058218517535608] : (9.5, 1588.875, 2110.75)"
17,"[0.7084100025387775, 0.5746484694013645, 0.9374743425303085, 7, 1, 0.26434099098981634, 0.030258068335302313, 0.5004585268846088, 0.3788774106064894, 0.4058218517535608] : (9.5, 1601.5, 2456.5)"
18,"[0.5204718432353929, 0.3191276279035322, 0.47529319990076835, 6, 13, 0.8592884890421564, 0.12843909835422707, 0.5004585268846088, 0.38382986779147954, 0.4058218517535608] : (9.5, 1614.875, 1296.0)"
