,0
0,"[0.8466639164968095, 0.2786706656361061, 0.030620401970831934, 7, 18, 0.0600575737756297, 0.8293527663885787, 0.5109352989009032, 0.7824192308453812, 0.5438145140559759] : 1244.4694642340498"
1,"[0.5893221394929122, 0.5813224427668173, 0.6025240269528935, 3, 12, 0.1713882971692855, 0.6799984828749729, 0.5220717025060017, 0.6549853347326012, 0.5087024789055082] : 1238.708848920781"
2,"[0.5893221394929122, 0.5813224427668173, 0.030620401970831934, 3, 18, 0.1713882971692855, 0.6799984828749729, 0.80774265643109, 0.7755682696389122, 0.18917290986411972] : 1226.0371600905653"
3,"[0.5893221394929122, 0.9871743470969673, 0.6025240269528935, 7, 12, 0.1713882971692855, 0.17006932657357687, 0.736385994249722, 0.7251890807199497, 0.7982891893752584] : 1225.649065715616"
4,"[0.06978893137951081, 0.8249822550732063, 0.4187894603268888, 7, 9, 0.7366017519348419, 0.26080954089219277, 0.80774265643109, 0.2485685605810587, 0.20996696381019364] : 1217.8648063293062"
5,"[0.5200151601883722, 0.8249822550732063, 0.4187894603268888, 7, 6, 0.0600575737756297, 0.8293527663885787, 0.80774265643109, 0.2485685605810587, 0.5438145140559759] : 1216.9712401738816"
6,"[0.06978893137951081, 0.5813224427668173, 0.030620401970831934, 7, 18, 0.7366017519348419, 0.6799984828749729, 0.80774265643109, 0.33474723635629045, 0.20996696381019364] : 1216.4260800917139"
7,"[0.22503060000249486, 0.2786706656361061, 0.030620401970831934, 7, 18, 0.7366017519348419, 0.26080954089219277, 0.5109352989009032, 0.7824192308453812, 0.20996696381019364] : 1213.858810535172"
8,"[0.6585481277528319, 0.5813224427668173, 0.030620401970831934, 3, 12, 0.1713882971692855, 0.17006932657357687, 0.736385994249722, 0.826787751667498, 0.7982891893752584] : 1210.9007286499725"
9,"[0.5893221394929122, 0.8249822550732063, 0.4187894603268888, 3, 9, 0.17615230142604965, 0.26080954089219277, 0.80774265643109, 0.7755682696389122, 0.7795191892748455] : 1210.438833431042"
