,0
0,"[0.427927274450449, 0.8815703098058659, 0.1203995482783563, 6, 19, 0.6579504044504251, 0.8988056519403884, 0.056897705445631774, 0.6071726337040262, 0.5269578248579645] : (10.5, 1607.0, 1422.3333333333333)"
1,"[0.5517067455362453, 0.6526713910324212, 0.1203995482783563, 3, 19, 0.9226723184184151, 0.6313274449842905, 0.056897705445631774, 0.012881318567602884, 0.02083559660272427] : (10.5, 1745.5555555555557, 1377.6666666666667)"
2,"[0.4816343795066266, 0.28712225743463937, 0.1203995482783563, 7, 19, 0.19443329408866916, 0.5212731931057791, 0.056897705445631774, 0.3467794375030422, 0.994617492012028] : (10.0, 1569.5, 1337.0)"
3,"[0.6411804291937272, 0.7755258281414878, 0.9870341487737686, 2, 17, 0.4180796757508637, 0.574149638946416, 0.2114044164451666, 0.4316508991760536, 0.7796852868280126] : (10.0, 2080.5, 769.6666666666666)"
4,"[0.4816343795066266, 0.6102526354108113, 0.050946736555044225, 7, 6, 0.8244422615721394, 0.5212731931057791, 0.056897705445631774, 0.3467794375030422, 0.5269578248579645] : (10.0, 2086.4444444444443, 1170.25)"
5,"[0.6411804291937272, 0.28712225743463937, 0.7242349045095591, 2, 19, 0.9258837166853899, 0.574149638946416, 0.2114044164451666, 0.23359711705145603, 0.3358715382246996] : (9.5, 1579.25, 2036.75)"
6,"[0.4816343795066266, 0.28712225743463937, 0.1203995482783563, 7, 19, 0.9226723184184151, 0.6313274449842905, 0.056897705445631774, 0.3467794375030422, 0.02083559660272427] : (9.5, 1649.75, 2677.5)"
7,"[0.7090162056792927, 0.7755258281414878, 0.9870341487737686, 3, 1, 0.30161659869410684, 0.18969493918899383, 0.6845245900478272, 0.726873010292963, 0.7317472897210351] : (9.5, 1665.0, 2072.5)"
8,"[0.7090162056792927, 0.1949675540368353, 0.8693721630966528, 3, 2, 0.5956603355077861, 0.8988056519403884, 0.09502835532432996, 0.3467794375030422, 0.97756939162289] : (9.5, 1669.75, 1982.5)"
9,"[0.7090162056792927, 0.7755258281414878, 0.9870341487737686, 3, 6, 0.48229891321164176, 0.8988056519403884, 0.056897705445631774, 0.3467794375030422, 0.7796852868280126] : (9.5, 1688.875, 1689.5)"
10,"[0.43312298744118694, 0.7755258281414878, 0.9870341487737686, 2, 6, 0.4180796757508637, 0.5212731931057791, 0.056897705445631774, 0.4316508991760536, 0.7796852868280126] : (9.5, 1711.75, 1755.75)"
11,"[0.6411804291937272, 0.28712225743463937, 0.6444864174219714, 6, 19, 0.6579504044504251, 0.5689160638174834, 0.5079342398631898, 0.012881318567602884, 0.4387226938418167] : (9.5, 1716.5, 2061.25)"
12,"[0.427927274450449, 0.7267719315068101, 0.1203995482783563, 6, 19, 0.6579504044504251, 0.5212731931057791, 0.056897705445631774, 0.6071726337040262, 0.5269578248579645] : (9.5, 1730.5, 1759.0)"
13,"[0.1839129436343927, 0.8690397460330949, 0.907896489950521, 6, 17, 0.6579504044504251, 0.5689160638174834, 0.14375056215476367, 0.012881318567602884, 0.97756939162289] : (9.5, 1737.875, 1685.25)"
14,"[0.427927274450449, 0.7755258281414878, 0.9870341487737686, 2, 6, 0.6579504044504251, 0.8988056519403884, 0.056897705445631774, 0.4316508991760536, 0.7796852868280126] : (9.5, 1749.5, 1082.75)"
15,"[0.6723372942038859, 0.34136438684348, 0.2663541714009957, 5, 6, 0.6579504044504251, 0.5689160638174834, 0.09474902558618481, 0.3467794375030422, 0.97756939162289] : (9.5, 1752.25, 1876.25)"
16,"[0.9591883815401797, 0.18492759336915454, 0.6444864174219714, 6, 19, 0.6579504044504251, 0.5689160638174834, 0.6845245900478272, 0.012881318567602884, 0.6392181534183707] : (9.5, 1753.375, 1779.5)"
