,0
0,"[0.5296680302038603, 0.7913396501236944, 0.1484756029295331, 6, 1, 0.6141293126585077, 0.7893003170753544, 0.27548353980645435, 0.1367370822796239, 0.32084294928487345] : (110.0, 1735.8890977443607, 1731.3999999999999)"
1,"[0.8788107486493817, 0.7913396501236944, 0.4206896172654988, 1, 17, 0.8678723195503744, 0.9424557368271907, 0.5605939932009549, 0.1367370822796239, 0.27069152788176465] : (106.0, 1694.4784461152879, 1716.885087719298)"
2,"[0.5267887079157748, 0.30606733566083455, 0.23120869113833054, 2, 1, 0.6141293126585077, 0.7893003170753544, 0.27548353980645435, 0.1367370822796239, 0.7352104088715735] : (102.5, 1753.8315789473681, 1679.101754385965)"
3,"[0.5296680302038603, 0.7913396501236944, 0.1484756029295331, 2, 1, 0.6141293126585077, 0.7893003170753544, 0.27548353980645435, 0.1367370822796239, 0.9405286950905585] : (99.5, 1729.7964912280702, 1657.6952380952378)"
4,"[0.6367918318906449, 0.7449687793457338, 0.1484756029295331, 2, 1, 0.5925222253421946, 0.7893003170753544, 0.5881540840738012, 0.1367370822796239, 0.3648036415260486] : (99.0, 1732.0710526315788, 1696.9552631578947)"
5,"[0.5296680302038603, 0.7913396501236944, 0.1484756029295331, 7, 1, 0.6141293126585077, 0.48241260904749317, 0.4332791358603716, 0.1367370822796239, 0.8087765262448475] : (97.5, 1768.2587719298244, 1645.6552631578948)"
6,"[0.5267887079157748, 0.7913396501236944, 0.1484756029295331, 1, 1, 0.8678723195503744, 0.7893003170753544, 0.5605939932009549, 0.1367370822796239, 0.3648036415260486] : (96.5, 1627.2377192982458, 1775.6210526315788)"
7,"[0.6367918318906449, 0.7449687793457338, 0.0019278819937814662, 2, 17, 0.7407968296641974, 0.9424557368271907, 0.5881540840738012, 0.1367370822796239, 0.7693500550659435] : (96.5, 1792.9298245614038, 1619.7745614035089)"
8,"[0.5296680302038603, 0.7913396501236944, 0.8505816695687026, 4, 3, 0.6141293126585077, 0.9804261830644878, 0.27548353980645435, 0.1367370822796239, 0.32084294928487345] : (96.0, 1611.3315789473681, 1833.3201754385966)"
9,"[0.5296680302038603, 0.4566118771599801, 0.09728299336069257, 6, 1, 0.6141293126585077, 0.7893003170753544, 0.20440429214636746, 0.1367370822796239, 0.7693500550659435] : (96.0, 1641.4315789473687, 1835.4219298245612)"
