,0
0,"[0.10373467819859672, 0.961272247785899, 0.8833467825088809, 6, 7, 0.3245942883610985, 0.9685604724645657, 0.6039455496315845, 0.13132116016646456, 0.6308930758328315] : 1234.7848240550334"
1,"[0.2617413372100251, 0.5761786426560279, 0.8833467825088809, 6, 7, 0.3245942883610985, 0.9685604724645657, 0.6039455496315845, 0.13132116016646456, 0.6308930758328315] : 1225.112474719312"
2,"[0.10373467819859672, 0.1701813168771279, 0.8833467825088809, 6, 7, 0.8164699265380448, 0.1366069426608818, 0.12278825970870111, 0.27160562266610444, 0.6308930758328315] : 1223.7735169700193"
3,"[0.10373467819859672, 0.2546186997034404, 0.8833467825088809, 6, 7, 0.3245942883610985, 0.9685604724645657, 0.9676690251096146, 0.13132116016646456, 0.6308930758328315] : 1221.7470366863292"
4,"[0.10373467819859672, 0.5761786426560279, 0.5357881210533724, 6, 7, 0.3245942883610985, 0.664331907308157, 0.6039455496315845, 0.31421790506225566, 0.20286814687993893] : 1219.108526239036"
5,"[0.38365510170540773, 0.5761786426560279, 0.8833467825088809, 1, 7, 0.3245942883610985, 0.32245217261564885, 0.9174036749349425, 0.13132116016646456, 0.8570415868922417] : 1215.7159600907178"
6,"[0.38365510170540773, 0.7737360794839067, 0.8833467825088809, 3, 7, 0.8164699265380448, 0.1366069426608818, 0.12278825970870111, 0.27160562266610444, 0.8570415868922417] : 1212.5679611805704"
7,"[0.38365510170540773, 0.1701813168771279, 0.38302380015577886, 6, 11, 0.9286167633715393, 0.1366069426608818, 0.06411576579224232, 0.014579753863149802, 0.6308930758328315] : 1212.2519794824705"
8,"[0.38365510170540773, 0.7737360794839067, 0.8833467825088809, 6, 7, 0.8164699265380448, 0.8043318524330114, 0.12278825970870111, 0.27160562266610444, 0.6308930758328315] : 1211.0154508375465"
9,"[0.10373467819859672, 0.8351052987158325, 0.8833467825088809, 7, 7, 0.8164699265380448, 0.9685604724645657, 0.12278825970870111, 0.13132116016646456, 0.6308930758328315] : 1210.2090804922907"
