Run,Carpeta,Seed,Tiempo (seg),Tiempo (horas),Evaluaciones,Generaciones,Tamaño Población,Procesadores,Mejor Fitness,Media Mejor Fitness x Gen,Std Mejor Fitness x Gen,Media Fitness Pob. Final,Std Fitness Pob. Final
1,CoEvELO_11012025-192839,1762021719,68738.45226788521,19.094014518857,500,50,10,48,1236.4754113581046,1233.8339666133609,6.934329795751476,1218.2911223124713,8.748768422002772
2,CoEvELO_11022025-143418,1762090458,68659.27745342255,19.072021514839598,500,50,10,48,1228.6819766086496,1234.585417193951,6.613674801648101,1221.4859070647829,4.742457500461504
3,CoEvELO_11032025-093837,1762159117,69159.21972036362,19.210894366767672,500,50,10,48,1244.4694642340498,1236.3216893836782,7.594049405390646,1222.1325038172101,11.000415550635308
4,CoEvELO_11042025-045116,1762228276,68844.54307198524,19.12348418666257,500,50,10,48,1239.6531696170712,1234.4848027927633,7.360958629795451,1223.7149763746038,8.701189556971833
5,CoEvELO_11042025-235841,1762297121,69140.0190320015,19.20556084222264,500,50,10,48,1234.7848240550334,1232.2090910034383,7.454076542239141,1218.6286810753325,7.444553757561005
