,0
0,"[0.956636271863732, 0.2579380498672741, 0.6393568712921733, 7, 17, 0.023178269925433037, 0.1866656204511874, 0.8990435733515699, 0.6637621419651777, 0.7502877068361935] : 1228.6819766086496"
1,"[0.17661884520084103, 0.8612180030548283, 0.051435174779877024, 5, 12, 0.835532562576536, 0.7475926244731187, 0.16319271515463118, 0.9710956746741816, 0.3725358866707824] : 1226.7335058732956"
2,"[0.760223204933856, 0.5377726700848252, 0.6393568712921733, 7, 2, 0.028026583352441126, 0.12467787927549112, 0.16319271515463118, 0.9710956746741816, 0.22808853150758435] : 1226.1558984325268"
3,"[0.17661884520084103, 0.0955837466723275, 0.6393568712921733, 7, 18, 0.8454628875048245, 0.12467787927549112, 0.16319271515463118, 0.9710956746741816, 0.22808853150758435] : 1226.1093922701925"
4,"[0.14442739575264596, 0.9221071524730874, 0.6393568712921733, 1, 1, 0.6394461567919468, 0.5726474275598751, 0.3781692319304907, 0.4962325618988982, 0.08725914425568049] : 1220.5241825362768"
5,"[0.760223204933856, 0.27655321845862135, 0.6393568712921733, 7, 18, 0.028026583352441126, 0.12467787927549112, 0.16319271515463118, 0.9710956746741816, 0.6368194104833406] : 1219.579411502459"
6,"[0.17661884520084103, 0.5377726700848252, 0.6393568712921733, 7, 2, 0.604264350884286, 0.12467787927549112, 0.16319271515463118, 0.9710956746741816, 0.22808853150758435] : 1217.9198653479511"
7,"[0.17661884520084103, 0.9221071524730874, 0.6393568712921733, 1, 1, 0.8503023575178348, 0.12467787927549112, 0.16319271515463118, 0.4962325618988982, 0.015443791399687767] : 1217.707509825397"
8,"[0.17661884520084103, 0.0955837466723275, 0.6393568712921733, 7, 18, 0.028026583352441126, 0.12467787927549112, 0.16319271515463118, 0.9710956746741816, 0.22808853150758435] : 1217.214204376215"
9,"[0.052638632479353964, 0.8612180030548283, 0.6393568712921733, 7, 17, 0.8454628875048245, 0.1866656204511874, 0.8990435733515699, 0.9710956746741816, 0.9271092821219479] : 1214.2331238748668"
