0, 30, (4.5, 1291.0, 2076.777777777778), (9.5, 1619.75, 1568.75), 6.5, 7.0, 1.224744871391589
1, 30, (6.5, 1294.4, 2359.8571428571427), (10.5, 1730.3333333333333, 1671.6666666666667), 7.5, 8.066666666666666, 0.9285592184789413
2, 30, (7.5, 1627.6666666666667, 1924.3333333333333), (10.5, 1730.3333333333333, 1671.6666666666667), 8.5, 8.366666666666667, 0.8259674462242577
3, 30, (7.5, 1519.5, 1634.8333333333333), (10.5, 1730.3333333333333, 1671.6666666666667), 8.5, 8.55, 0.7112196097783955
4, 30, (8.0, 1817.142857142857, 1973.5), (10.5, 1730.3333333333333, 1671.6666666666667), 8.5, 8.766666666666667, 0.5878397362849466
5, 30, (8.0, 1540.0, 1587.1666666666667), (10.5, 1730.3333333333333, 1671.6666666666667), 8.5, 8.833333333333334, 0.53748384988657
6, 30, (8.5, 1819.2857142857142, 1363.2), (10.5, 1730.3333333333333, 1671.6666666666667), 8.5, 8.883333333333333, 0.5273097339852124
7, 30, (8.5, 1808.4285714285713, 1695.2), (10.5, 1730.3333333333333, 1671.6666666666667), 8.5, 8.883333333333333, 0.5273097339852124
8, 30, (8.5, 1808.4285714285713, 1695.2), (10.5, 1730.3333333333333, 1671.6666666666667), 8.5, 8.883333333333333, 0.5273097339852124
9, 30, (8.5, 1719.857142857143, 1425.2), (10.5, 1730.3333333333333, 1671.6666666666667), 8.5, 8.883333333333333, 0.5273097339852124
10, 30, (8.5, 1709.5714285714287, 1992.2), (10.5, 1730.3333333333333, 1671.6666666666667), 8.5, 8.883333333333333, 0.5273097339852124
11, 30, (8.5, 1657.0, 2114.8), (10.5, 1730.3333333333333, 1671.6666666666667), 8.5, 8.916666666666666, 0.5335936864527374
12, 30, (8.5, 1639.0, 2107.2), (10.5, 1730.3333333333333, 1671.6666666666667), 8.5, 8.916666666666666, 0.5335936864527374
13, 30, (8.5, 1619.142857142857, 1795.4), (10.5, 1730.3333333333333, 1671.6666666666667), 8.5, 8.966666666666667, 0.5617433182117573
14, 30, (8.5, 1594.142857142857, 1985.6), (10.5, 1730.3333333333333, 1671.6666666666667), 8.75, 9.0, 0.5627314338711378
15, 30, (8.5, 1582.0, 1505.4), (10.5, 1730.3333333333333, 1671.6666666666667), 9.0, 9.016666666666667, 0.5550275268448903
16, 30, (8.5, 1538.2857142857142, 1783.4), (10.5, 1730.3333333333333, 1671.6666666666667), 9.5, 9.166666666666666, 0.5527707983925666
17, 30, (8.5, 1510.857142857143, 1856.8), (10.5, 1730.3333333333333, 1671.6666666666667), 9.5, 9.183333333333334, 0.5398044913567216
18, 30, (8.5, 1469.142857142857, 1977.6), (10.5, 1730.3333333333333, 1671.6666666666667), 9.5, 9.233333333333333, 0.5120763831912406
19, 30, (8.5, 1453.857142857143, 1589.8), (10.5, 1730.3333333333333, 1671.6666666666667), 9.5, 9.283333333333333, 0.4775516260631468
20, 30, (8.5, 1395.7142857142858, 2376.0), (10.5, 1730.3333333333333, 1671.6666666666667), 9.5, 9.35, 0.4310839052125854
21, 30, (8.5, 1387.5714285714287, 2078.4), (10.5, 1730.3333333333333, 1671.6666666666667), 9.5, 9.35, 0.4310839052125854
22, 30, (8.5, 1288.0, 2062.4), (10.5, 1730.3333333333333, 1671.6666666666667), 9.5, 9.433333333333334, 0.3815174380753199
23, 30, (9.0, 2315.75, 1497.8), (10.5, 1730.3333333333333, 1671.6666666666667), 9.5, 9.45, 0.35
24, 30, (9.0, 2315.75, 1497.8), (10.5, 1730.3333333333333, 1671.6666666666667), 9.5, 9.45, 0.35
25, 30, (9.0, 1960.875, 1828.6), (10.5, 1684.7777777777778, 1682.3333333333333), 9.5, 9.55, 0.4153311931459038
26, 30, (9.0, 1960.875, 1828.6), (10.5, 1684.7777777777778, 1682.3333333333333), 9.5, 9.55, 0.4153311931459038
27, 30, (9.0, 1676.25, 1913.4), (10.5, 1684.7777777777778, 1682.3333333333333), 9.5, 9.583333333333334, 0.40994579587496144
28, 30, (9.0, 1645.0, 1413.4), (10.5, 1684.7777777777778, 1682.3333333333333), 9.5, 9.6, 0.3958114029012639
29, 30, (9.0, 1440.625, 2196.2), (10.5, 1640.0, 1308.6666666666667), 9.5, 9.666666666666666, 0.39440531887330776
30, 30, (9.0, 1381.875, 1795.8), (10.5, 1640.0, 1308.6666666666667), 9.5, 9.683333333333334, 0.3760171390892825
31, 30, (9.0, 1381.875, 1795.8), (10.5, 1640.0, 1308.6666666666667), 9.5, 9.683333333333334, 0.3760171390892825
32, 30, (9.5, 2249.375, 1254.75), (10.5, 1640.0, 1308.6666666666667), 9.5, 9.7, 0.35590260840104365
33, 30, (9.5, 2249.375, 1254.75), (10.5, 1640.0, 1308.6666666666667), 9.5, 9.7, 0.35590260840104365
34, 30, (9.5, 2235.875, 1225.0), (10.5, 1640.0, 1308.6666666666667), 9.5, 9.7, 0.35590260840104365
35, 30, (9.5, 1975.0, 1665.5), (10.5, 1640.0, 1308.6666666666667), 9.5, 9.716666666666667, 0.35784850922639816
36, 30, (9.5, 1951.75, 1660.0), (10.5, 1640.0, 1308.6666666666667), 9.5, 9.75, 0.3818813079129867
37, 30, (9.5, 1951.75, 1660.0), (10.5, 1640.0, 1308.6666666666667), 9.5, 9.75, 0.3818813079129867
38, 30, (9.5, 1951.75, 1660.0), (10.5, 1640.0, 1308.6666666666667), 9.5, 9.75, 0.3818813079129867
39, 30, (9.5, 1937.625, 1444.0), (10.5, 1640.0, 1308.6666666666667), 9.5, 9.75, 0.3818813079129867
