,0
0,"[0.24828854117733912, 0.8999707242482075, 0.7263712750326307, 1, 19, 0.8089887021281921, 0.44300790338559803, 0.5108326262050714, 0.226295668792857, 0.9835853623793082] : (10.5, 1640.0, 1308.6666666666667)"
1,"[0.5002595662537527, 0.9535889443721887, 0.9652455025162099, 6, 16, 0.448978067205581, 0.20407433856001533, 0.5512161202286702, 0.9471247310740883, 0.46280997130490176] : (10.5, 1684.7777777777778, 1682.3333333333333)"
2,"[0.13552648523368072, 0.8999707242482075, 0.8414918762552206, 1, 19, 0.448978067205581, 0.4764100274451646, 0.3798616574345517, 0.9513732626051679, 0.259293797672996] : (10.5, 1730.3333333333333, 1671.6666666666667)"
3,"[0.11955939658070558, 0.3149666314526245, 0.20784145301851742, 7, 2, 0.43716300212395764, 0.5109251482210939, 0.7988154581224794, 0.9107627092961943, 0.9498437329163858] : (10.5, 1917.7777777777778, 726.0)"
4,"[0.5476774255127559, 0.9535889443721887, 0.9652455025162099, 1, 16, 0.448978067205581, 0.20407433856001533, 0.5512161202286702, 0.226295668792857, 0.46280997130490176] : (10.5, 1991.0, 1779.3333333333333)"
5,"[0.5476774255127559, 0.9535889443721887, 0.9652455025162099, 8, 16, 0.7178462181436881, 0.6431093817305172, 0.5512161202286702, 0.4919629329974632, 0.46280997130490176] : (10.0, 1574.3333333333333, 2394.25)"
6,"[0.8497660334651879, 0.8085461131721333, 0.20784145301851742, 5, 6, 0.6503427619303682, 0.6431093817305172, 0.5512161202286702, 0.6899219785009973, 0.6538093756459269] : (10.0, 1625.6666666666667, 1607.25)"
7,"[0.24828854117733912, 0.8999707242482075, 0.20784145301851742, 5, 5, 0.6503427619303682, 0.958470451359315, 0.5512161202286702, 0.1222451256605892, 0.828783984448959] : (10.0, 1651.111111111111, 2358.0)"
8,"[0.8497660334651879, 0.8999707242482075, 0.20784145301851742, 5, 5, 0.6503427619303682, 0.6431093817305172, 0.5512161202286702, 0.1222451256605892, 0.09733157494651079] : (10.0, 1940.125, 1269.0)"
9,"[0.5476774255127559, 0.8999707242482075, 0.9652455025162099, 1, 16, 0.448978067205581, 0.6431093817305172, 0.057474354920560744, 0.226295668792857, 0.46280997130490176] : (10.0, 1990.3333333333333, 1016.0)"
10,"[0.11955939658070558, 0.3149666314526245, 0.20784145301851742, 7, 2, 0.6460928195989747, 0.7371788701996531, 0.5420104078372977, 0.39437235436355156, 0.9498437329163858] : (10.0, 2148.5555555555557, 1392.75)"
11,"[0.13552648523368072, 0.8999707242482075, 0.8721435880817062, 6, 16, 0.448978067205581, 0.02817984765318171, 0.3798616574345517, 0.9513732626051679, 0.259293797672996] : (9.5, 1475.0, 1670.25)"
12,"[0.11955939658070558, 0.8999707242482075, 0.8721435880817062, 7, 16, 0.08071954147293292, 0.5109251482210939, 0.6878329881690812, 0.9107627092961943, 0.259293797672996] : (9.5, 1476.75, 1640.5)"
13,"[0.24828854117733912, 0.8999707242482075, 0.16031753086767309, 5, 19, 0.8089887021281921, 0.9853472185502204, 0.3798616574345517, 0.43528160500245916, 0.9835853623793082] : (9.5, 1525.875, 1623.75)"
14,"[0.5002595662537527, 0.9535889443721887, 0.7454901976572659, 7, 14, 0.30570529768476906, 0.626797228960579, 0.04043514334569398, 0.39437235436355156, 0.9587627261968003] : (9.5, 1529.875, 1728.5)"
15,"[0.5691155278626654, 0.8275122652540334, 0.6778461356810539, 7, 14, 0.6460928195989747, 0.626797228960579, 0.6819865772321432, 0.39437235436355156, 0.9587627261968003] : (9.5, 1555.875, 1831.0)"
16,"[0.9941336035015851, 0.3149666314526245, 0.20784145301851742, 5, 2, 0.16942378799821545, 0.6431093817305172, 0.5420104078372977, 0.09084434921238027, 0.09733157494651079] : (9.5, 1589.375, 1542.0)"
