,0
0,"[0.8236764429411386, 0.3421385248489114, 0.03804993858450434, 5, 12, 0.6771749205448041, 0.10525102343194481, 0.9302053416800453, 0.4498789212944384, 0.44761875467539647] : (10.5, 2053.5555555555557, 701.3333333333334)"
1,"[0.5379181585805525, 0.31793770113873, 0.2435860377348652, 5, 12, 0.8249333524168143, 0.9965680496745397, 0.9302053416800453, 0.6617007543492862, 0.050000198580006594] : (10.5, 2074.4444444444443, 812.0)"
2,"[0.5379181585805525, 0.8835416464640573, 0.07319898086869714, 5, 16, 0.38654777351375, 0.9965680496745397, 0.6048737200226941, 0.6435610553777353, 0.050000198580006594] : (10.0, 1646.5555555555557, 2139.75)"
3,"[0.8596619050806111, 0.305207783153176, 0.21933568668656023, 6, 10, 0.35077819803747257, 0.26566513711952167, 0.48025560490151686, 0.6435610553777353, 0.5027231488329325] : (10.0, 1824.0, 2151.5)"
4,"[0.8236764429411386, 0.31793770113873, 0.23248865162624144, 5, 12, 0.8249333524168143, 0.9965680496745397, 0.9302053416800453, 0.23349246878008245, 0.44761875467539647] : (10.0, 1871.3333333333333, 1930.5)"
5,"[0.7138028403769566, 0.3421385248489114, 0.37006683504431515, 6, 4, 0.848465473621568, 0.4077193638216591, 0.6048737200226941, 0.6435610553777353, 0.9816651830795027] : (10.0, 2090.1111111111113, 1276.75)"
6,"[0.8236764429411386, 0.8210855940022647, 0.13992319713437795, 4, 1, 0.9875393026158079, 0.9965680496745397, 0.6048737200226941, 0.8683735441396245, 0.7807728552030283] : (9.5, 1403.875, 2264.75)"
7,"[0.8236764429411386, 0.6948155287756171, 0.07319898086869714, 10, 10, 0.9875393026158079, 0.26566513711952167, 0.6048737200226941, 0.6435610553777353, 0.7807728552030283] : (9.5, 1488.75, 1999.0)"
8,"[0.5379181585805525, 0.31793770113873, 0.2435860377348652, 3, 8, 0.8249333524168143, 0.9965680496745397, 0.9302053416800453, 0.6617007543492862, 0.44761875467539647] : (9.5, 1490.875, 1472.0)"
9,"[0.8236764429411386, 0.47245252580521, 0.07319898086869714, 10, 17, 0.38654777351375, 0.9965680496745397, 0.6048737200226941, 0.6435610553777353, 0.05639579063605704] : (9.5, 1512.125, 1890.25)"
