,0
0,"[0.6444697144772145, 0.4513466526021771, 0.006695452117377321, 6, 10, 0.797672079124042, 0.32715731648888513, 0.9481727262014195, 0.3378316111399504, 0.01488321789402236] : (11.5, 1926.9, 1010.5)"
1,"[0.6674751521031115, 0.7478840562222778, 0.1833820924029611, 6, 4, 0.13061663413978664, 0.09492689500644003, 0.6377430416129822, 0.4344907768586872, 0.1185552606798459] : (10.5, 1689.0, 1060.3333333333333)"
2,"[0.11164175849906177, 0.043666432215302975, 0.1833820924029611, 6, 7, 0.797672079124042, 0.09492689500644003, 0.6377430416129822, 0.1324619245942985, 0.01488321789402236] : (10.5, 1730.3333333333333, 1704.6666666666667)"
3,"[0.6444697144772145, 0.4513466526021771, 0.006695452117377321, 4, 10, 0.6150025800847072, 0.32715731648888513, 0.9481727262014195, 0.3378316111399504, 0.06663503301598495] : (10.0, 1814.0, 2055.0)"
4,"[0.11164175849906177, 0.20395198529448244, 0.5798446785523446, 10, 4, 0.6904326611636653, 0.09492689500644003, 0.6377430416129822, 0.44016961316143954, 0.01488321789402236] : (10.0, 1900.7777777777778, 2034.25)"
5,"[0.6674751521031115, 0.20395198529448244, 0.10721573188716826, 10, 4, 0.6904326611636653, 0.5794635625334936, 0.33464119083319765, 0.3181631026734064, 0.01488321789402236] : (10.0, 1978.125, 837.3333333333334)"
6,"[0.6140911334870341, 0.043666432215302975, 0.43445879950028765, 6, 7, 0.797672079124042, 0.09492689500644003, 0.8021251499233888, 0.1324619245942985, 0.01488321789402236] : (10.0, 2090.777777777778, 1018.5)"
7,"[0.4491149317423806, 0.043666432215302975, 0.7767626563250061, 6, 17, 0.8736158472371813, 0.8210772087519923, 0.8021251499233888, 0.9576644370405444, 0.03537396587530173] : (9.5, 1511.375, 1824.5)"
8,"[0.6674751521031115, 0.7478840562222778, 0.1833820924029611, 6, 4, 0.13061663413978664, 0.09492689500644003, 0.6377430416129822, 0.4344907768586872, 0.5718029034169176] : (9.5, 1516.625, 2157.75)"
9,"[0.3346749143549771, 0.7478840562222778, 0.21588024239389658, 10, 12, 0.958327799021799, 0.37884692857927293, 0.6377430416129822, 0.4344907768586872, 0.01488321789402236] : (9.5, 1579.5, 1824.5)"
