,0
0,"[0.3390729325360927, 0.1305158934195393, 0.06912474831286741, 8, 2, 0.7841551494600603, 0.8182534032606329, 0.7844896246021426, 0.4211679057584541, 0.7454018349476341] : (104.0, 1699.5972431077696, 1695.030701754386)"
1,"[0.6191600158360246, 0.24459518166582184, 0.573597945437044, 2, 17, 0.7555827538494525, 0.8182534032606329, 0.7106437258571927, 0.9911569823002467, 0.7454018349476341] : (103.0, 1693.1031328320803, 1633.9648148148149)"
2,"[0.3390729325360927, 0.15823904523579124, 0.573597945437044, 8, 2, 0.7555827538494525, 0.8182534032606329, 0.7106437258571927, 0.4211679057584541, 0.7454018349476341] : (102.0, 1765.447368421053, 1717.7798245614035)"
3,"[0.5191313626040039, 0.8905383422161202, 0.06912474831286741, 9, 2, 0.7841551494600603, 0.7204515193159344, 0.6400831621223728, 0.5415666577945771, 0.4220518170433971] : (100.5, 1748.525062656642, 1579.2157407407406)"
4,"[0.5191313626040039, 0.25390330047200693, 0.32918790750208504, 4, 17, 0.7555827538494525, 0.8182534032606329, 0.6400831621223728, 0.9911569823002467, 0.7454018349476341] : (98.0, 1731.3859649122808, 1716.076315789474)"
5,"[0.6191600158360246, 0.1305158934195393, 0.15942034124067062, 4, 17, 0.7555827538494525, 0.8182534032606329, 0.6400831621223728, 0.9911569823002467, 0.14632851224771726] : (97.5, 1694.7833333333335, 1829.2464912280702)"
6,"[0.6191600158360246, 0.1305158934195393, 0.15942034124067062, 4, 17, 0.7555827538494525, 0.8182534032606329, 0.6400831621223728, 0.9911569823002467, 0.14632851224771726] : (96.0, 1708.287037037037, 1616.361904761905)"
7,"[0.9845781623982166, 0.6154815543149854, 0.15942034124067062, 8, 17, 0.7555827538494525, 0.8182534032606329, 0.6400831621223728, 0.9911569823002467, 0.4220518170433971] : (95.0, 1813.0898148148146, 1654.4294486215538)"
8,"[0.6316213188675475, 0.15823904523579124, 0.6586566338000108, 8, 17, 0.3762009849757837, 0.7204515193159344, 0.6400831621223728, 0.6939043309036286, 0.4220518170433971] : (94.5, 1757.2263157894733, 1694.2973684210526)"
9,"[0.5191313626040039, 0.8905383422161202, 0.06912474831286741, 9, 1, 0.7841551494600603, 0.8182534032606329, 0.6400831621223728, 0.5415666577945771, 0.4220518170433971] : (94.5, 1784.0454887218045, 1632.2473684210524)"
